"IDX","IDX_DATETIME","DATA_GUBUN","LOCATION","GATHER_INFO","VALUE_1","VALUE_2","VALUE_3"
"297","2021-01-06 13:00:00","T,H","1156000000",,"30","-3","0"
"298","2021-01-06 13:00:00","T,H","1156055000",,"30","-3","0"
"299","2021-01-06 13:00:00","T,H","1156061000",,"30","-3","0"
"300","2021-01-06 13:00:00","T,H","1156062000",,"30","-3","0"
"301","2021-01-06 13:00:00","T,H","1147056000",,"27","-5","0"
"302","2021-01-06 13:00:00","T,H","1147058000",,"27","-5","0"
"303","2021-01-06 13:00:00","T,H","1147059000",,"27","-5","0"
"304","2021-01-06 13:00:00","T,H","1147060000",,"27","-5","0"
"305","2021-01-06 13:00:00","T,H","1147061100",,"27","-5","0"
"306","2021-01-06 13:00:00","T,H","1150056000",,"27","-5","0"
"307","2021-01-06 13:00:00","T,H","1150061100",,"27","-5","0"
"308","2021-01-06 13:00:00","T,H","1150062000",,"27","-5","0"
"309","2021-01-06 13:00:00","T,H","4119080000",,"27","-5","0"
"310","2021-01-06 13:00:00","T,H","4119083000",,"27","-5","0"
"311","2021-01-06 13:00:00","T,H","1147068000",,"27","-5","0"
"312","2021-01-06 13:00:00","T,H","1153000000",,"27","-5","0"
"313","2021-01-06 13:00:00","T,H","1153051000",,"27","-5","0"
"314","2021-01-06 13:00:00","T,H","1153052000",,"27","-5","0"
"315","2021-01-06 13:00:00","T,H","1153053000",,"27","-5","0"
"316","2021-01-06 13:00:00","T,H","1153054000",,"27","-5","0"
"317","2021-01-06 13:00:00","T,H","1153055000",,"27","-5","0"
"318","2021-01-06 13:00:00","T,H","1153056000",,"27","-5","0"
"319","2021-01-06 13:00:00","T,H","1153059500",,"27","-5","0"
"320","2021-01-06 13:00:00","T,H","1153072000",,"27","-5","0"
"321","2021-01-06 13:00:00","T,H","1153073000",,"27","-5","0"
"322","2021-01-06 13:00:00","T,H","1153074000",,"27","-5","0"
"323","2021-01-06 13:00:00","T,H","1153075000",,"27","-5","0"
